title,series,rating,category,episode,description,image,video,slug
Gaikotsu Shotenin Honda-san Episode 12,Gaikotsu Shotenin Honda-san,6.9,"Comedy,SliceofLife,Supernatural",12,Nonton Gaikotsu Shotenin Honda-san Sub Indo - Kisah komedi yang berpusat pada sebuah kerangka bernama Honda yang bekerja di toko buku. Kisah-kisah keseharian dia dalam menjaga toko buku di bagian manga.,https://myanimelist.cdn-dena.com/images/anime/1555/93865.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHlJeS1GaG01cG5sREhYemlfOHJ4UHc0OGVZeW9nSlVhNEpqTTlkQkhrX1ZyZGdmOG9XMzlTdzBsSzloWjhCMXkzbEVFRTlLRV9mNHowQmVMNGJQa2JDTG9oTTlSMnJGQUpSZlV3SlcwckFsVWFyT2RqTXBvaEsxV1dvaW1sOUtMWEpKUUU&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,gaikotsu-shotenin-honda-san-episode-12
Chuukan Kanriroku Tonegawa Episode 24,Chuukan Kanriroku Tonegawa,6.8,"Comedy, Drama, Parody, Psychological, Seinen",24,"Nonton Chuukan Kanriroku Tonegawa Sub Indo - Chuukan Kanriroku Tonegawa adalah spin-off dari seri Kaiji, yang mengikuti Tonegawa, tangan kanan dari Kazutaka Hyoudou, presiden Teiai Corporation dan pemilik banyak turnamen judi. Setelah Hyoudou mulai bosan dengan hidupnya, dia memerintahkan Tonegawa untuk mengatur apa yang disebut ""permainan kematian"" karena itu adalah tugasnya dan bawahannya untuk menjaga presiden dalam suasana hati yang baik. Tonegawa harus bekerja sama dengan bawahannya untuk membuat presiden bahagia dan yang berikutnya adalah cerita lucu dari interaksinya dengan bawahannya dan karakter lain dari seri Kaiji.",https://myanimelist.cdn-dena.com/images/anime/1072/93145.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpja21fRjRsenJqa2N5ZVliMnBKeWhuenlKZE10WFhmS1NubExfdlh3WFRVS1MxT2JIbUdUWVV0THMxRUVYcGYtOG1qaERpcTU2UEpSUURSbXpIaFlfZUprYlRVcHA2ckswNHZ2MHhiY0RONHUteWpNWDhmVm1fOUQyZjd4LVNHN21DTHlR&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,chuukan-kanriroku-tonegawa-episode-24
Manaria Friends Episode 1,Manaria Friends,N/A,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",1,"Nonton Manaria Friends Sub Indo - Mysteria Academy adalah sekolah sihir bergengsi yang mengajarkan sihir tanpa diskriminasi kepada tiga faksi (pria, dewa, setan), yang biasanya terlibat dalam pertempuran satu sama lain. Dua siswa akademi adalah Anne, seorang putri dan siswa teladan, dan Grea, seorang putri yang lahir dari naga dan manusia.",https://cdn.myanimelist.net/images/anime/1580/95199.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHlKV1ZZV0xfRi1OQXZfeEpvUGFaNXBLbmY5T0xxcWxmM3ViX2ozR1ZWU2dlX1hZemY5OWYwVGZNZ1VDMUF5WkVRZE5RWEJGNkU5S2I4bnZiQXRtcWpfZFBsZ1loRmYtRTNka2l6Zzg3NFNoZ1QyZW5tWDlQZ0pfQkgtdGxpRlhEUUhBNUk&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,manaria-friends-episode-1
Tokyo Ghoul:re S2 Episode 12,Tokyo Ghoul:re S2,7.11,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",12,Nonton Tokyo Ghoul:re Season 2 Sub Indo - musim kedua Tokyo Ghoul:re.,https://myanimelist.cdn-dena.com/images/anime/1719/93889.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHpUOEx3ODVvSGlEdW1HWlgwMV9RVllGeW9yU0t4MTRneDZFV1dNeWRlSVMzdHVKcl9lSlhTY3dCYWJxN1dxajNvck84NUQyVXFOTzFJUUQ5dC1NZ05JdXZweE5IY1k2RG1LNVRpSE1GVUhPN3ZUd1VrMFNzMHRzblYzUDE5QWNwQ0hWMzJT&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,tokyo-ghoul:re-s2-episode-12
Hangyakusei Million Arthur Episode 9,Hangyakusei Million Arthur,6.8,"Action,Adventure,Fantasy,Magic",9,"Nonton Hangyakusei Million Arthur Sub Indo - Excalibur merupakan senjata kuat yang mampu menyebabkan distorsi sejarah. Untuk mengatasinya, keenam Arthur yang terdiri dari Danchou Arthur, Tekken Arthur, Yamaneko Arthur, Renkin Arthur, Kakka Arthur, dan Rurou Arthur, melakukan perjalanan ke masa lalu untuk menghancurkan Excalibur. Tidak main-main, jumlah Excalibur itu adalah sebanyak satu juta. Ini adalah kisah para Arthur untuk melindungi sejarah dan masa depan.",https://myanimelist.cdn-dena.com/images/anime/1881/93383.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHk2VE1yWVlxdVByMEYxMlJzSjh2MDFiSUJrT3RHOFdTOUg5bi1aS1g2Y21IWjRVUUo5cmtESW1kM3FzWlNsZ2FDYy1sRmhjY1A1QVFOQmI3NW1zYkYyTHRlaURxYjBadHJRNUNhaGs3Sk5IcG02cXhvQmFDZ1hjSFpVSWl6OHJDYkJwVXc&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,hangyakusei-million-arthur-episode-9
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Episode 13,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,7.8,"Comedy,Supernatural,Romance,School",13,"Nonton Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Sub Indo - Pubertas Syndrome — sindrom yang diisukan dan misterius yang hanya memengaruhi mereka di masa puber. Sebagai contoh, seorang gadis kelinci tiba-tiba muncul di depan Sakuta Azusagawa. Identitas nyata gadis kelinci adalah Mai Sakurajima, seorang selebritas remaja yang saat ini adalah seorang siswa SMA yang tidak aktif. Untuk beberapa alasan, sosok menawannya tidak mencerminkan di mata orang lain. Dalam perjalanan mengungkap misteri di balik fenomena ini, Sakuta mulai mengeksplorasi perasaannya terhadap Mai. Terletak di sebuah kota di mana langit dan laut bersinar, Sakuta mengungkapkan makna di balik pertemuan anehnya pada wanita dengan sindrom tersebut.",https://myanimelist.cdn-dena.com/images/anime/1301/93586.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHdZOXp1aTlnTklwM0ZIaWVwRFBhbW1SVURKTDgtc1dFdWd3bkZndFlqQlVlTXJLZ0swQ0twTzItWVJpb0xwSExMT0dUSG5PRElHbjNhLThSc0l6ZzJJR0dDT0N6cGlMSUx3VDZ6M0lnbHA3R0NtaUg2WFA1cXdpcEkzTjkxblhJLTNwUzA&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-episode-13
Conception Episode 12,Conception,5.4,"Action,Adventure,Fantasy,Harem,Magic,Romance",12,"Nonton Conception Sub Indo - Pada hari kelulusan SMA-nya, sepupu Itsuki, Mahiru, mengatakan kepadanya bahwa dia hamil. Saat itu, sebuah gerbang cahaya muncul dan mengangkut keduanya ke dunia Granvania. Di tanah ini, “Kotoran” telah menyebabkan gangguan pada Bintang, akhirnya menjerumuskan Granvania ke dalam kekacauan dan kekacauan. Dan Itsuki, sekarang terungkap menjadi orang yang ditakdirkan untuk bertemu dengan “Gadis Bintang”, dilihat sebagai harapan terakhir Granvania dan dengan demikian diberi tugas untuk menghasilkan “Anak Bintang” dan memerangi “Kotoran”. Dan sampai tugas selesai, Itsuki mungkin tidak akan pernah bisa pulang ke rumah.",https://myanimelist.cdn-dena.com/images/anime/1849/95019.jpg,http://153.92.5.103/server/player/?u=aHR0cDovL2dldC5hbmltZW5pbmUuY29tL2J0dWJlLnBocD9xPUFENnY1ZHp1Y2V2dlk2Z1VWbVRqUnpzQjN1Z0FubHY0eUU2bEJ0cHg5Zldfajl4SlEtU1U5S3VaTHExYWNUOUpYVU1QTDRlR29rSzJYSV9QX0VFd1hfSVdOWDV2WWhDVkZrcW5jaWhINDBNTHJMTVJrSF9MLUgxNkNBYmVpSlJISTl4NV84aHRVa1E&p=&a=1&i=Ly9hbmltZWlzbWUuY29tL2Fzc2V0cy9pbWFnZXMvaXBsLnBuZw==,conception-episode-12
title,series,rating,category,episode,description,image,video,slug
Gaikotsu Shotenin Honda-san Episode 12,Gaikotsu Shotenin Honda-san,6.9,"Comedy,SliceofLife,Supernatural",12,Nonton Gaikotsu Shotenin Honda-san Sub Indo - Kisah komedi yang berpusat pada sebuah kerangka bernama Honda yang bekerja di toko buku. Kisah-kisah keseharian dia dalam menjaga toko buku di bagian manga.,https://myanimelist.cdn-dena.com/images/anime/1555/93865.jpg,"https://r4---sn-aigzrn76.googlevideo.com/videoplayback?id=e7a9e12160e1d84a&itag=18&source=blogger&mm=31&mn=sn-aigzrn76&ms=au&mv=u&pl=48&ei=uL4mXIOvNtOV-gOOzazABw&susc=bl&mime=video/mp4&dur=692.233&lmt=1545870682068574&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071864&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=DEFBDFCE5D9C6D1743C2A1C4534A9726C7B420F41AC30D9E2C938CA97BE3857D.534D7BEF382EBAFA98CC206494BB3DE789A0E93925D103485B1EB5D57FDC0A41&key=us0 ",gaikotsu-shotenin-honda-san-episode-12
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Episode 13,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,7.8,"Comedy,Supernatural,Romance,School",13,"Nonton Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Sub Indo - Pubertas Syndrome — sindrom yang diisukan dan misterius yang hanya memengaruhi mereka di masa puber. Sebagai contoh, seorang gadis kelinci tiba-tiba muncul di depan Sakuta Azusagawa. Identitas nyata gadis kelinci adalah Mai Sakurajima, seorang selebritas remaja yang saat ini adalah seorang siswa SMA yang tidak aktif. Untuk beberapa alasan, sosok menawannya tidak mencerminkan di mata orang lain. Dalam perjalanan mengungkap misteri di balik fenomena ini, Sakuta mulai mengeksplorasi perasaannya terhadap Mai. Terletak di sebuah kota di mana langit dan laut bersinar, Sakuta mengungkapkan makna di balik pertemuan anehnya pada wanita dengan sindrom tersebut.",https://myanimelist.cdn-dena.com/images/anime/1301/93586.jpg,"https://r2---sn-aigl6nek.googlevideo.com/videoplayback?id=67239d81724561e5&itag=18&source=blogger&mm=31&mn=sn-aigl6nek&ms=au&mv=u&pl=48&ei=wL4mXN70Go_a-wPNxqWgDA&susc=bl&mime=video/mp4&dur=1499.823&lmt=1545868092504349&mt=1546042394&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546071872&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=96646738A0756CF3D39B0F5A55492755FB00D6CDDA70BAF47A03BBB4EEEC784C.72BDA50FFF95E05D6BD084394F637B703F2647D403439D6EFE3E839AAD6931CA&key=us0 ",seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-episode-13
